Time,iter,angle_r_e_f_1,zmp_r_e_f_1,zmp_f_t_1,angle_r_e_f_2,zmp_r_e_f_2,zmp_f_t_2,angle_r_e_f_3,zmp_r_e_f_3,zmp_f_t_3,angle_r_e_f_4,zmp_r_e_f_4,zmp_f_t_4,angle_r_e_f_5,zmp_r_e_f_5,zmp_f_t_5,angle_r_e_f_6,zmp_r_e_f_6,zmp_f_t_6,angle_r_e_f_7,zmp_r_e_f_7,zmp_f_t_7,angle_r_e_f_8,zmp_r_e_f_8,zmp_f_t_8,angle_r_e_f_9,zmp_r_e_f_9,zmp_f_t_9,angle_r_e_f_1_0,zmp_r_e_f_1_0,zmp_f_t_1_0
17.3,552,-0.641839087,0.0099999998,0.01099944,-1.2837587595,0.0199999996,0.02199726,-1.9258396626,0.0299999993,0.0333735,-2.5681626797,0.0399999991,0.04420179,-3.210808754,0.0500000007,0.05291098,-3.8538594246,0.0599999987,0.06138739,-4.497396946,0.0700000003,0.07187078,-5.1415028572,0.0799999982,0.08054923,-5.7862620354,0.0900000036,0.09479921,-6.4317564964,0.1000000015,0.10941537
17.34,553,-0.641839087,0.0099999998,0.01098854,-1.2837587595,0.0199999996,0.02199007,-1.9258396626,0.0299999993,0.03343365,-2.5681626797,0.0399999991,0.04425089,-3.210808754,0.0500000007,0.05268873,-3.8538594246,0.0599999987,0.06126024,-4.497396946,0.0700000003,0.07189668,-5.1415028572,0.0799999982,0.08050758,-5.7862620354,0.0900000036,0.094881,-6.4317564964,0.1000000015,0.108899
17.38,554,-0.641839087,0.0099999998,0.01091928,-1.2837587595,0.0199999996,0.02204352,-1.9258396626,0.0299999993,0.03342356,-2.5681626797,0.0399999991,0.044216,-3.210808754,0.0500000007,0.05255813,-3.8538594246,0.0599999987,0.06107829,-4.497396946,0.0700000003,0.0718234,-5.1415028572,0.0799999982,0.08045863,-5.7862620354,0.0900000036,0.09498958,-6.4317564964,0.1000000015,0.10858145
17.41,555,-0.641839087,0.0099999998,0.01091448,-1.2837587595,0.0199999996,0.02201939,-1.9258396626,0.0299999993,0.033268,-2.5681626797,0.0399999991,0.04425761,-3.210808754,0.0500000007,0.05243132,-3.8538594246,0.0599999987,0.06114201,-4.497396946,0.0700000003,0.07153432,-5.1415028572,0.0799999982,0.0804316,-5.7862620354,0.0900000036,0.0953268,-6.4317564964,0.1000000015,0.10820125
17.44,556,-0.641839087,0.0099999998,0.01097477,-1.2837587595,0.0199999996,0.02208088,-1.9258396626,0.0299999993,0.03328919,-2.5681626797,0.0399999991,0.04425562,-3.210808754,0.0500000007,0.05225823,-3.8538594246,0.0599999987,0.06099456,-4.497396946,0.0700000003,0.07142826,-5.1415028572,0.0799999982,0.08053648,-5.7862620354,0.0900000036,0.09538789,-6.4317564964,0.1000000015,0.1078902
17.47,557,-0.641839087,0.0099999998,0.01100027,-1.2837587595,0.0199999996,0.02203211,-1.9258396626,0.0299999993,0.03324281,-2.5681626797,0.0399999991,0.04413291,-3.210808754,0.0500000007,0.05206404,-3.8538594246,0.0599999987,0.06069855,-4.497396946,0.0700000003,0.07124051,-5.1415028572,0.0799999982,0.08068889,-5.7862620354,0.0900000036,0.09569736,-6.4317564964,0.1000000015,0.10790597
17.5,558,-0.641839087,0.0099999998,0.01102317,-1.2837587595,0.0199999996,0.02210934,-1.9258396626,0.0299999993,0.03312793,-2.5681626797,0.0399999991,0.04414346,-3.210808754,0.0500000007,0.0520689,-3.8538594246,0.0599999987,0.06086311,-4.497396946,0.0700000003,0.07124887,-5.1415028572,0.0799999982,0.08104159,-5.7862620354,0.0900000036,0.09594449,-6.4317564964,0.1000000015,0.10760355
17.54,559,-0.641839087,0.0099999998,0.01106277,-1.2837587595,0.0199999996,0.02208398,-1.9258396626,0.0299999993,0.03320099,-2.5681626797,0.0399999991,0.0441682,-3.210808754,0.0500000007,0.05231889,-3.8538594246,0.0599999987,0.06064428,-4.497396946,0.0700000003,0.07115668,-5.1415028572,0.0799999982,0.08101126,-5.7862620354,0.0900000036,0.09629409,-6.4317564964,0.1000000015,0.10778782
17.56,560,-0.641839087,0.0099999998,0.01110639,-1.2837587595,0.0199999996,0.02216068,-1.9258396626,0.0299999993,0.03294828,-2.5681626797,0.0399999991,0.04424707,-3.210808754,0.0500000007,0.05247189,-3.8538594246,0.0599999987,0.060709,-4.497396946,0.0700000003,0.07099302,-5.1415028572,0.0799999982,0.08106642,-5.7862620354,0.0900000036,0.09652057,-6.4317564964,0.1000000015,0.10777408
17.6,561,-0.641839087,0.0099999998,0.01102611,-1.2837587595,0.0199999996,0.02222514,-1.9258396626,0.0299999993,0.03291942,-2.5681626797,0.0399999991,0.04425019,-3.210808754,0.0500000007,0.05262922,-3.8538594246,0.0599999987,0.06086708,-4.497396946,0.0700000003,0.07112297,-5.1415028572,0.0799999982,0.08126254,-5.7862620354,0.0900000036,0.09632957,-6.4317564964,0.1000000015,0.10802524
