Time,angle_ref,zmp_ref,zmp_ft,ka,ba,iter
6.93,-0.0006926570,0.0000000000,0.00009766,9.9099998474,39.5847282410,232
6.96,-0.0003393615,0.0000000000,0.00007908,9.9099998474,39.5847282410,233
6.99,-0.0008841384,0.0000000000,0.00010945,9.9099998474,39.5847282410,234
7.03,-0.0003090872,0.0000000000,0.00010132,9.9099998474,39.5847282410,235
7.05,-0.0010292531,0.0000000000,0.00006850,9.9099998474,39.5847282410,236
7.08,-0.0004834397,0.0000000000,0.00008286,9.9099998474,39.5847282410,237
7.11,-0.0003854702,0.0000000000,0.00006929,9.9099998474,39.5847282410,238
7.15,-0.0006927415,0.0000000000,0.00006040,9.9099998474,39.5847282410,239
7.17,-0.0003189489,0.0000000000,0.00009627,9.9099998474,39.5847282410,240
7.21,-0.0004399388,0.0000000000,0.00009280,9.9099998474,39.5847282410,241
7.24,-0.0008376508,0.0000000000,0.00008617,9.9099998474,39.5847282410,242
7.27,-0.0004996233,0.0000000000,0.00011345,9.9099998474,39.5847282410,243
7.29,-0.0006129852,0.0000000000,0.00011743,9.9099998474,39.5847282410,244
7.32,-0.0009063573,0.0000000000,0.00013393,9.9099998474,39.5847282410,245
7.35,-0.0007347141,0.0000000000,0.00008581,9.9099998474,39.5847282410,246
7.39,-0.0010266394,0.0000000000,0.00008348,9.9099998474,39.5847282410,247
7.41,-0.0002466991,0.0000000000,0.00006409,9.9099998474,39.5847282410,248
7.45,-0.0007378954,0.0000000000,0.00000740,9.9099998474,39.5847282410,249
7.48,-0.0002385600,0.0000000000,0.00007527,9.9099998474,39.5847282410,250
7.50,0.0001605404,0.0000000000,0.00004920,9.9099998474,39.5847282410,251
7.53,-0.0010135367,0.0000000000,0.00011822,9.9099998474,39.5847282410,252
7.56,0.0000944676,0.0000000000,0.00011624,9.9099998474,39.5847282410,253
7.59,-0.0014087312,0.0000000000,0.00008913,9.9099998474,39.5847282410,254
7.63,-0.0004434636,0.0000000000,0.00009408,9.9099998474,39.5847282410,255
7.65,-0.0006252208,0.0000000000,0.00011685,9.9099998474,39.5847282410,256
7.69,-0.0006654419,0.0000000000,0.00011386,9.9099998474,39.5847282410,257
7.71,-0.0008969952,0.0000000000,0.00011720,9.9099998474,39.5847282410,258
7.75,-0.0006915241,0.0000000000,0.00008510,9.9099998474,39.5847282410,259
7.78,-0.0008523260,0.0000000000,0.00004457,9.9099998474,39.5847282410,260
7.80,-0.0003662118,0.0000000000,0.00008639,9.9099998474,39.5847282410,261
7.83,-0.0001937401,0.0000000000,0.00010564,9.9099998474,39.5847282410,262
7.87,-0.0008851629,0.0000000000,0.00009008,9.9099998474,39.5847282410,263
7.90,-0.0006516207,0.0000000000,0.00004781,9.9099998474,39.5847282410,264
7.93,-0.0005481136,0.0000000000,0.00011613,9.9099998474,39.5847282410,265
7.96,-0.0001272642,0.0000000000,0.00002292,9.9099998474,39.5847282410,266
7.98,-0.0012779554,0.0000000000,0.00004036,9.9099998474,39.5847282410,267
8.02,0.0006375201,0.0000000000,0.00008521,9.9099998474,39.5847282410,268
8.05,-0.0008052908,0.0000000000,0.00008782,9.9099998474,39.5847282410,269
8.07,-0.0005497839,0.0000000000,0.00009641,9.9099998474,39.5847282410,270
8.11,-0.0006012904,0.0000000000,0.00009840,9.9099998474,39.5847282410,271
8.13,-0.0006991762,0.0000000000,0.00005151,9.9099998474,39.5847282410,272
8.17,-0.0006486283,0.0000000000,0.00009779,9.9099998474,39.5847282410,273
8.19,-0.0000962909,0.0000000000,0.00009685,9.9099998474,39.5847282410,274
8.23,-0.0010628876,0.0000000000,0.00009668,9.9099998474,39.5847282410,275
8.26,-0.0004284552,0.0000000000,0.00008591,9.9099998474,39.5847282410,276
8.29,-0.0007674811,0.0000000000,0.00013137,9.9099998474,39.5847282410,277
8.32,-0.0004657652,0.0000000000,0.00008086,9.9099998474,39.5847282410,278
8.35,-0.0012012578,0.0000000000,0.00011860,9.9099998474,39.5847282410,279
8.37,-0.0000921137,0.0000000000,0.00006167,9.9099998474,39.5847282410,280
8.41,-0.0012601264,0.0000000000,0.00008417,9.9099998474,39.5847282410,281
8.44,0.0001439473,0.0000000000,0.00012226,9.9099998474,39.5847282410,282
8.47,-0.0009969211,0.0000000000,0.00010505,9.9099998474,39.5847282410,283
8.50,-0.0008147928,0.0000000000,0.00007857,9.9099998474,39.5847282410,284
8.53,-0.0006042126,0.0000000000,0.00010649,9.9099998474,39.5847282410,285
8.56,-0.0004478558,0.0000000000,0.00008967,9.9099998474,39.5847282410,286
8.59,-0.0009258991,0.0000000000,0.00008466,9.9099998474,39.5847282410,287
8.62,-0.0003977283,0.0000000000,0.00010339,9.9099998474,39.5847282410,288
8.65,-0.0006566396,0.0000000000,0.00006049,9.9099998474,39.5847282410,289
8.68,-0.0007629200,0.0000000000,0.00011098,9.9099998474,39.5847282410,290
8.71,-0.0001305672,0.0000000000,0.00004298,9.9099998474,39.5847282410,291
8.74,-0.0011881422,0.0000000000,0.00011706,9.9099998474,39.5847282410,292
8.77,0.0003272726,0.0000000000,0.00006945,9.9099998474,39.5847282410,293
8.80,-0.0015398178,0.0000000000,0.00011131,9.9099998474,39.5847282410,294
8.83,0.0001993268,0.0000000000,0.00011724,9.9099998474,39.5847282410,295
8.86,-0.0013388972,0.0000000000,0.00007988,9.9099998474,39.5847282410,296
8.89,-0.0005169841,0.0000000000,0.00008662,9.9099998474,39.5847282410,297
8.92,-0.0004670499,0.0000000000,0.00009579,9.9099998474,39.5847282410,298
8.95,-0.0006775324,0.0000000000,0.00004428,9.9099998474,39.5847282410,299
8.98,-0.0006468790,0.0000000000,0.00005704,9.9099998474,39.5847282410,300
9.01,-0.0745132193,0.0010000000,0.00006602,9.9021635056,38.0020942688,301
9.04,-0.1496268064,0.0020000001,0.00003192,9.9317865372,43.6845283508,302
9.07,-0.2115855962,0.0030000000,-0.00053556,9.9417428970,45.4351119995,303
9.10,-0.2830184698,0.0040000002,-0.00146685,9.9467821121,46.2959136963,304
9.13,-0.3429389596,0.0049999999,-0.00368468,9.9498558044,46.8131942749,305
9.16,-0.4065180421,0.0060000001,-0.00539955,9.9519453049,47.1615982056,306
9.19,-0.4531709552,0.0070000002,-0.00822648,9.9534730911,47.4147262573,307
9.22,-0.5198191404,0.0080000004,-0.00949325,9.9546499252,47.6087837219,308
9.25,-0.5587320328,0.0089999996,-0.01222021,9.9555921555,47.7635955811,309
9.28,-0.6372832060,0.0099999998,-0.01344181,9.9563703537,47.8910713196,310
9.31,-0.6686400771,0.0109999999,-0.01454705,9.9570302963,47.9989166260,311
9.34,-0.7524556518,0.0120000001,-0.01441492,9.9575996399,48.0917587280,312
